TEAM_ID,TEAM_NAME,CONFERENCE,WIN_PCT,POINT_DIFF,GAME_ROWS,AVG_GAME_MARGIN,AVG_TEAM_SCORE,AVG_OPP_SCORE
279,Pacific Tigers,West Coast Conference,0.54545456,3.9,33,3.878788,72.696970,68.818182
2692,Weber State Wildcats,Big Sky Conference,0.5,3.9,32,3.875000,81.187500,77.312500
142,Missouri Tigers,Southeastern Conference,0.6060606,3.7,33,3.757576,79.242424,75.484848
71,Bradley Braves,Missouri Valley Conference,0.61764705,3.6,34,3.647059,77.235294,73.588235
2535,Samford Bulldogs,Southern Conference,0.5625,3.6,32,3.625000,78.906250,75.281250
2344,Longwood Lancers,Big South Conference,0.5,3.6,32,3.625000,77.687500,74.062500
249,North Texas Mean Green,American Conference,0.57575756,3.5,33,3.515152,70.939394,67.424242
264,Washington Huskies,Big Ten Conference,0.4848485,3.5,33,3.484848,77.121212,73.636364
108,Harvard Crimson,Ivy League,0.5862069,3.4,29,3.379310,70.068966,66.689655
2514,Quinnipiac Bobcats,Metro Atlantic Athletic Conference,0.59375,3.3,32,3.375000,75.343750,71.968750
2127,Charleston Southern Buccaneers,Big South Conference,0.46875,3.3,32,3.343750,83.437500,80.093750
79,Southern Illinois Salukis,Missouri Valley Conference,0.5,3.4,33,3.333333,70.787879,67.454545
250,UT Arlington Mavericks,Western Athletic Conference,0.5625,3.3,32,3.312500,70.000000,66.687500
44,American University Eagles,Patriot League,0.5,3.3,32,3.250000,74.593750,71.343750
218,Temple Owls,American Conference,0.5,3.1,32,3.187500,73.937500,70.750000
98,Western Kentucky Hilltoppers,Conference USA,0.5625,3.2,32,3.156250,79.281250,76.125000
166,New Mexico State Aggies,Conference USA,0.5,3.1,32,3.125000,75.093750,71.968750
2184,Duquesne Dukes,Atlantic 10 Conference,0.54545456,3.1,33,3.121212,78.303030,75.181818
119,Towson Tigers,Coastal Athletic Association,0.5588235,3.1,34,3.117647,69.235294,66.117647
276,Marshall Thundering Herd,Sun Belt Conference,0.59375,3.1,32,3.093750,81.125000,78.031250
24,Stanford Cardinal,Atlantic Coast Conference,0.6060606,3,33,3.030303,76.000000,72.969697
326,Texas State Bobcats,Sun Belt Conference,0.59375,2.9,32,2.937500,73.906250,70.968750
99,LSU Tigers,Southeastern Conference,0.46875,2.9,32,2.937500,81.437500,78.500000
2115,Central Connecticut Blue Devils,Northeast Conference,0.6,2.9,30,2.933333,73.833333,70.900000
2603,Saint Joseph's Hawks,Atlantic 10 Conference,0.6666667,2.8,36,2.888889,73.138889,70.250000
93,Murray State Racers,Missouri Valley Conference,0.6060606,2.8,33,2.878788,83.090909,80.212121
2217,Fairfield Stags,Metro Atlantic Athletic Conference,0.61764705,2.9,34,2.823529,74.352941,71.529412
