TEAM_ID,TEAM_NAME,CONFERENCE,WINS,LOSSES,WIN_PCT,POINT_DIFF,POINT_DIFF_RANK
2363,Manhattan Jaspers,Metro Atlantic Athletic Conference,12,20,0.375,-4.9,312
322,Lafayette Leopards,Patriot League,11,21,0.34375,-5,313
27,UC Riverside Highlanders,Big West Conference,10,22,0.3125,-5,313
349,Army Black Knights,Patriot League,11,21,0.34375,-5,313
107,Holy Cross Crusaders,Patriot League,11,22,0.33333334,-5.1,316
2277,Houston Christian Huskies,Southland Conference,12,20,0.375,-5.1,317
2464,Northern Arizona Lumberjacks,Big Sky Conference,10,22,0.3125,-5.1,317
160,New Hampshire Wildcats,America East Conference,9,21,0.3,-5.4,319
2545,SE Louisiana Lions,Southland Conference,9,22,0.29032257,-5.5,320
213,Penn State Nittany Lions,Big Ten Conference,12,20,0.375,-5.6,321
311,Maine Black Bears,America East Conference,8,24,0.25,-5.9,322
56,Stetson Hatters,ASUN Conference,12,21,0.36363637,-6,323
151,East Carolina Pirates,American Conference,11,20,0.3548387,-6,323
111,Northeastern Huskies,Coastal Athletic Association,7,24,0.22580644,-6.1,325
325,Cleveland State Vikings,Horizon League,11,22,0.33333334,-6.1,326
2885,NJIT Highlanders,America East Conference,16,17,0.4848485,-6.2,327
48,Delaware Blue Hens,Conference USA,10,21,0.32258064,-6.3,328
2379,Maryland Eastern Shore Hawks,Mid-Eastern Athletic Conference,9,23,0.28125,-6.4,329
23,San José State Spartans,Mountain West Conference,9,24,0.27272728,-6.5,330
120,Maryland Terrapins,Big Ten Conference,12,21,0.36363637,-6.9,331
2066,Binghamton Bearcats,America East Conference,8,23,0.2580645,-7,332
2325,La Salle Explorers,Atlantic 10 Conference,9,23,0.28125,-7,332
309,Louisiana Ragin' Cajuns,Sun Belt Conference,11,22,0.33333334,-7,332
2643,The Citadel Bulldogs,Southern Conference,11,22,0.33333334,-7.1,335
2492,Pepperdine Waves,West Coast Conference,9,23,0.28125,-7.3,336
315,Niagara Purple Eagles,Metro Atlantic Athletic Conference,8,22,0.26666668,-7.3,337
2099,Canisius Golden Griffins,Metro Atlantic Athletic Conference,10,21,0.32258064,-7.6,338
2803,Bryant Bulldogs,America East Conference,9,22,0.29032257,-7.7,339
2678,VMI Keydets,Southern Conference,6,26,0.1875,-8,340
2453,North Alabama Lions,ASUN Conference,9,21,0.3,-8.2,341
2459,Northern Illinois Huskies,Mid-American Conference,9,21,0.3,-8.3,342
2454,North Florida Ospreys,ASUN Conference,7,25,0.21875,-8.6,343
2083,Bucknell Bison,Patriot League,10,23,0.3030303,-8.9,344
2350,Loyola Chicago Ramblers,Atlantic 10 Conference,9,24,0.27272728,-9,345
2934,Cal State Bakersfield Roadrunners,Big West Conference,8,24,0.25,-9.1,346
2169,Delaware State Hornets,Mid-Eastern Athletic Conference,8,23,0.2580645,-9.3,347
339,Evansville Purple Aces,Missouri Valley Conference,7,25,0.21875,-9.5,348
2598,Saint Francis Red Flash,Northeast Conference,7,24,0.22580644,-9.5,348
2130,Chicago State Cougars,Northeast Conference,7,25,0.21875,-10.3,350
2636,UTSA Roadrunners,American Conference,5,25,0.16666667,-11.2,351
2433,UL Monroe Warhawks,Sun Belt Conference,4,28,0.125,-11.5,352
2569,South Carolina State Bulldogs,Mid-Eastern Athletic Conference,10,22,0.3125,-11.7,353
2710,Western Illinois Leathernecks,Ohio Valley Conference,5,26,0.16129032,-11.9,354
2520,Rider Broncs,Metro Atlantic Athletic Conference,4,25,0.13793103,-12.6,355
2016,Alcorn State Braves,Southwestern Athletic Conference,9,23,0.28125,-13.3,356
2296,Jackson State Tigers,Southwestern Athletic Conference,12,21,0.36363637,-13.6,357
140,Kansas City Roos,Summit League,4,27,0.12903225,-14.6,358
2154,Coppin State Eagles,Mid-Eastern Athletic Conference,7,24,0.22580644,-14.9,359
